2021-02-26T16:04:12.148Z [AUDIT] Token created by 'anonymous': tokenId='06b58867-4135-4c18-af32-837f949ff034', issuer='jfrou@01ezfhae126pz9nynx26bydx0c', subject='jfrou@01ezfhae126pz9nynx26bydx0c', expiry=none, refreshable=false
2021-03-02T13:07:44.414Z [AUDIT] Token created by 'jffe@000': tokenId='d7022960-7781-40aa-aee9-bada2c8e5ca7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691064413, refreshable=false
2021-03-02T13:07:44.414Z [AUDIT] Token created by 'jffe@000': tokenId='d4f908ea-5403-4762-adb9-6d6775bfca5c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691064414, refreshable=false
2021-03-02T13:07:44.417Z [AUDIT] Token created by 'jffe@000': tokenId='d5c7d00a-df1d-48f6-a27b-5ab9df29d3f5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691064417, refreshable=false
2021-03-02T13:17:44.961Z [AUDIT] Token created by 'jffe@000': tokenId='4280c97c-c727-4a10-bab1-cdbbc69e92ae', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691664961, refreshable=false
2021-03-02T13:17:44.966Z [AUDIT] Token created by 'jffe@000': tokenId='03dd5149-7ff8-4553-88d3-0bdb6def0a7f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691664965, refreshable=false
2021-03-02T13:17:44.982Z [AUDIT] Token created by 'jffe@000': tokenId='a621bd8f-f9c1-454b-9d44-b3df6e543330', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691664982, refreshable=false
2021-03-02T13:17:44.983Z [AUDIT] Token created by 'jffe@000': tokenId='d95d8cd4-7069-4ae7-a79e-e05c7f577c19', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614691664983, refreshable=false
2021-03-02T13:27:45.098Z [AUDIT] Token created by 'jffe@000': tokenId='fb96abff-f76b-4470-aa51-fef4d55db58b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692265097, refreshable=false
2021-03-02T13:27:45.098Z [AUDIT] Token created by 'jffe@000': tokenId='c79f5b64-121c-47fd-b122-aa4add14c0e4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692265097, refreshable=false
2021-03-02T13:27:45.098Z [AUDIT] Token created by 'jffe@000': tokenId='65474c35-8c6e-4dc8-ac47-bb2d1d906628', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692265097, refreshable=false
2021-03-02T13:27:45.104Z [AUDIT] Token created by 'jffe@000': tokenId='5031cc14-e2fa-4048-ac21-63cd4fa19db6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692265104, refreshable=false
2021-03-02T13:37:45.163Z [AUDIT] Token created by 'jffe@000': tokenId='fcf4919b-ced0-4872-b444-f07c4a9499fe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692865163, refreshable=false
2021-03-02T13:37:45.163Z [AUDIT] Token created by 'jffe@000': tokenId='c0bed7ea-e2a2-437f-b41e-a8a6162c0266', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692865163, refreshable=false
2021-03-02T13:37:45.167Z [AUDIT] Token created by 'jffe@000': tokenId='7ffb93c7-5de4-490a-9571-373bb4751c74', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692865167, refreshable=false
2021-03-02T13:37:45.168Z [AUDIT] Token created by 'jffe@000': tokenId='92b7fe5d-8964-4ebe-a195-bc3ffda6a2fc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614692865168, refreshable=false
2021-03-02T13:47:45.268Z [AUDIT] Token created by 'jffe@000': tokenId='81bf1e95-f612-44e0-896a-b2c9bb755bfd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614693465268, refreshable=false
2021-03-02T13:47:45.269Z [AUDIT] Token created by 'jffe@000': tokenId='616d1e8b-e5d1-45b2-a5dd-f809b3caa606', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614693465269, refreshable=false
2021-03-02T13:47:45.270Z [AUDIT] Token created by 'jffe@000': tokenId='8cb7a014-0f46-465f-8f76-4aceba4335ee', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614693465269, refreshable=false
2021-03-02T13:47:45.293Z [AUDIT] Token created by 'jffe@000': tokenId='e8d3ed86-d815-4b94-99c9-e173137aedbd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614693465293, refreshable=false
2021-03-02T13:57:45.348Z [AUDIT] Token created by 'jffe@000': tokenId='0b0f6bff-40bd-45e3-aa92-2892c3e13b55', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694065348, refreshable=false
2021-03-02T13:57:45.348Z [AUDIT] Token created by 'jffe@000': tokenId='d30d0064-bcd8-4b3f-988d-98703b1dfcdc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694065348, refreshable=false
2021-03-02T13:57:45.349Z [AUDIT] Token created by 'jffe@000': tokenId='f901cd19-6c85-435a-8f02-a02dcfcf4ecf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694065349, refreshable=false
2021-03-02T13:57:45.350Z [AUDIT] Token created by 'jffe@000': tokenId='5a695b67-1409-4ea0-bb63-f41358a1cc62', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694065350, refreshable=false
2021-03-02T14:07:45.489Z [AUDIT] Token created by 'jffe@000': tokenId='992d35b9-e4d0-42e9-86ec-ec105012d1b6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694665489, refreshable=false
2021-03-02T14:07:45.489Z [AUDIT] Token created by 'jffe@000': tokenId='fd6dc414-48b6-455f-bfad-abc9b9c90f7b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694665489, refreshable=false
2021-03-02T14:07:45.495Z [AUDIT] Token created by 'jffe@000': tokenId='126504e2-e239-47f6-b38b-07c58c61a018', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694665495, refreshable=false
2021-03-02T14:07:45.495Z [AUDIT] Token created by 'jffe@000': tokenId='d2bbec5b-7d75-462b-bf7d-7a3eb636c1c9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614694665495, refreshable=false
2021-03-02T14:17:45.602Z [AUDIT] Token created by 'jffe@000': tokenId='fe53cac4-5bfb-4b3b-9874-0d0082bae42a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695265602, refreshable=false
2021-03-02T14:17:45.602Z [AUDIT] Token created by 'jffe@000': tokenId='4f0fbdbf-bd4b-4c76-a23d-21bf9dc2df93', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695265602, refreshable=false
2021-03-02T14:17:45.602Z [AUDIT] Token created by 'jffe@000': tokenId='712a8c28-a172-4059-803f-9d196cb31050', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695265602, refreshable=false
2021-03-02T14:17:45.607Z [AUDIT] Token created by 'jffe@000': tokenId='94a62259-535d-43e0-90c3-1b54b4499062', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695265607, refreshable=false
2021-03-02T14:27:45.771Z [AUDIT] Token created by 'jffe@000': tokenId='24f98020-f0c2-4221-a4c1-142b84116e08', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695865771, refreshable=false
2021-03-02T14:27:45.772Z [AUDIT] Token created by 'jffe@000': tokenId='cc36c7a3-16d5-48d0-a122-65b8322a1309', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695865772, refreshable=false
2021-03-02T14:27:45.772Z [AUDIT] Token created by 'jffe@000': tokenId='f02112e2-5991-4fe7-9656-9a9d0aaece07', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695865772, refreshable=false
2021-03-02T14:27:45.772Z [AUDIT] Token created by 'jffe@000': tokenId='4fe33ccc-b212-4e84-afa4-6e9140df42ec', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614695865772, refreshable=false
2021-03-02T14:37:45.841Z [AUDIT] Token created by 'jffe@000': tokenId='8d35dc9a-e8e3-40b5-a906-7abd9a00443d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614696465841, refreshable=false
2021-03-02T14:37:45.841Z [AUDIT] Token created by 'jffe@000': tokenId='4bec36b2-7567-40dd-b8bd-7f3b52469984', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614696465841, refreshable=false
2021-03-02T14:37:45.842Z [AUDIT] Token created by 'jffe@000': tokenId='b83b977a-3433-4878-84ec-fa5a0e3eb4d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614696465842, refreshable=false
2021-03-02T14:37:45.842Z [AUDIT] Token created by 'jffe@000': tokenId='45ba25d4-3fc4-42ad-8133-ac7ef947734f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614696465842, refreshable=false
2021-03-02T14:47:45.897Z [AUDIT] Token created by 'jffe@000': tokenId='5789cbf6-2eca-40f8-96ce-f847d516f8fa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697065897, refreshable=false
2021-03-02T14:47:45.897Z [AUDIT] Token created by 'jffe@000': tokenId='3412c2e1-d774-4429-8f2d-9576f198bf7c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697065897, refreshable=false
2021-03-02T14:47:45.898Z [AUDIT] Token created by 'jffe@000': tokenId='cb8b2767-48fb-43ef-ac8e-69c282074859', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697065898, refreshable=false
2021-03-02T14:47:45.899Z [AUDIT] Token created by 'jffe@000': tokenId='96a7fb5b-b7c4-4383-a12a-651211cef07d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697065899, refreshable=false
2021-03-02T14:57:45.998Z [AUDIT] Token created by 'jffe@000': tokenId='fbc6b5f8-1f9a-4227-b4ae-678190066b0d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697665998, refreshable=false
2021-03-02T14:57:45.998Z [AUDIT] Token created by 'jffe@000': tokenId='c7f74f3a-67bb-4c69-b01f-675e26ad2440', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697665998, refreshable=false
2021-03-02T14:57:45.998Z [AUDIT] Token created by 'jffe@000': tokenId='9041d4bc-b1ce-4041-b2dd-3d5ead0ef3b4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697665998, refreshable=false
2021-03-02T14:57:45.998Z [AUDIT] Token created by 'jffe@000': tokenId='6db3e533-d605-429c-8615-773eaa55a5b5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614697665998, refreshable=false
2021-03-02T15:07:46.069Z [AUDIT] Token created by 'jffe@000': tokenId='a38a23f7-8534-4614-8900-6fa7e1651f6a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698266069, refreshable=false
2021-03-02T15:07:46.071Z [AUDIT] Token created by 'jffe@000': tokenId='4b58172b-77c5-4b20-bfe0-e96c229bf49d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698266071, refreshable=false
2021-03-02T15:07:46.069Z [AUDIT] Token created by 'jffe@000': tokenId='90d41bb8-afcb-4aee-a9e4-d449b53ab034', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698266069, refreshable=false
2021-03-02T15:07:46.071Z [AUDIT] Token created by 'jffe@000': tokenId='fb496c17-2947-406d-9c1d-5973f731b6e5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698266071, refreshable=false
2021-03-02T15:17:46.147Z [AUDIT] Token created by 'jffe@000': tokenId='c523a2bd-471a-46f7-8d7b-bb7ae4f4581b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698866147, refreshable=false
2021-03-02T15:17:46.147Z [AUDIT] Token created by 'jffe@000': tokenId='4bf5dd01-0a6f-4c0c-832a-e1811b4ab3df', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698866147, refreshable=false
2021-03-02T15:17:46.152Z [AUDIT] Token created by 'jffe@000': tokenId='4d6ff668-7115-4c0f-be51-be781a7f3eeb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698866151, refreshable=false
2021-03-02T15:17:46.154Z [AUDIT] Token created by 'jffe@000': tokenId='e2059fa6-0a0f-4b7c-bb2d-efd1327c6071', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614698866154, refreshable=false
2021-03-02T15:27:46.263Z [AUDIT] Token created by 'jffe@000': tokenId='2e61c79b-f005-4d50-b74f-a9a616bdc553', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614699466263, refreshable=false
2021-03-02T15:27:46.263Z [AUDIT] Token created by 'jffe@000': tokenId='053e8a82-ee4d-4dec-942d-cc800b85e84b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614699466263, refreshable=false
2021-03-02T15:27:46.264Z [AUDIT] Token created by 'jffe@000': tokenId='d4e4d132-0b33-4ceb-a24f-34bb65d799b5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614699466264, refreshable=false
2021-03-02T15:27:46.264Z [AUDIT] Token created by 'jffe@000': tokenId='3bfc22e9-fa0d-46d6-8bc4-bfcb9be066bf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614699466264, refreshable=false
2021-03-02T15:37:46.391Z [AUDIT] Token created by 'jffe@000': tokenId='28899a0c-7ff0-4388-b2dd-407a2a8da9cf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700066391, refreshable=false
2021-03-02T15:37:46.391Z [AUDIT] Token created by 'jffe@000': tokenId='b0c86abd-7be7-40c2-92d6-5121a36d5066', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700066391, refreshable=false
2021-03-02T15:37:46.393Z [AUDIT] Token created by 'jffe@000': tokenId='d0ea4225-480b-4c3e-8444-4da473bc6667', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700066392, refreshable=false
2021-03-02T15:37:46.394Z [AUDIT] Token created by 'jffe@000': tokenId='d7781fe6-343c-4134-b20a-ed79eb854407', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700066394, refreshable=false
2021-03-02T15:47:46.496Z [AUDIT] Token created by 'jffe@000': tokenId='d98ff661-919a-4fef-9621-34df3d913b1c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700666496, refreshable=false
2021-03-02T15:47:46.500Z [AUDIT] Token created by 'jffe@000': tokenId='aaf661c4-0b8d-419b-896a-df290e190a9b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700666500, refreshable=false
2021-03-02T15:47:46.529Z [AUDIT] Token created by 'jffe@000': tokenId='0f2acbd7-bf3e-49dc-b5dd-f650246ff8c3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700666528, refreshable=false
2021-03-02T15:47:46.527Z [AUDIT] Token created by 'jffe@000': tokenId='95c75f9e-e1ed-41da-aa4a-3b02f4bc3fc5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614700666527, refreshable=false
2021-03-02T15:57:46.591Z [AUDIT] Token created by 'jffe@000': tokenId='4d454a88-d73e-4ab5-9594-0f3b876221b0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701266591, refreshable=false
2021-03-02T15:57:46.591Z [AUDIT] Token created by 'jffe@000': tokenId='18e517a4-34ef-4846-9fae-fd8669ccb4b0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701266591, refreshable=false
2021-03-02T15:57:46.593Z [AUDIT] Token created by 'jffe@000': tokenId='bf1f1fe6-6268-424c-95f9-a87ac189e820', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701266593, refreshable=false
2021-03-02T15:57:46.593Z [AUDIT] Token created by 'jffe@000': tokenId='cc497fbd-39dd-4ea9-b9f8-e21bbebe04ae', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701266593, refreshable=false
2021-03-02T16:07:46.748Z [AUDIT] Token created by 'jffe@000': tokenId='a93855f9-13d1-4d0c-83a5-d07af4198395', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701866747, refreshable=false
2021-03-02T16:07:46.748Z [AUDIT] Token created by 'jffe@000': tokenId='099edba2-a0d9-42e3-88f3-7df073d98077', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701866748, refreshable=false
2021-03-02T16:07:46.752Z [AUDIT] Token created by 'jffe@000': tokenId='a693ebd9-6515-4769-8ac8-454a71f0aed8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701866751, refreshable=false
2021-03-02T16:07:46.752Z [AUDIT] Token created by 'jffe@000': tokenId='d2b46750-bc99-438f-8b34-409ca066fd0a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614701866751, refreshable=false
2021-03-02T16:17:47.111Z [AUDIT] Token created by 'jffe@000': tokenId='2154ab29-05fd-43b1-97eb-30dc7305a4d7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614702467111, refreshable=false
2021-03-02T16:17:47.111Z [AUDIT] Token created by 'jffe@000': tokenId='b767acdf-3703-4425-a22d-ea25c4feb7c9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614702467111, refreshable=false
2021-03-02T16:17:47.113Z [AUDIT] Token created by 'jffe@000': tokenId='330ba791-5c4f-4619-84db-0352ea8365bb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614702467113, refreshable=false
2021-03-02T16:17:47.116Z [AUDIT] Token created by 'jffe@000': tokenId='2499bf55-7f51-4b4a-a8d3-e03af0cb60b7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614702467115, refreshable=false
2021-03-02T16:27:47.268Z [AUDIT] Token created by 'jffe@000': tokenId='9d412244-4214-4fa0-b52a-1973020bf033', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703067268, refreshable=false
2021-03-02T16:27:47.268Z [AUDIT] Token created by 'jffe@000': tokenId='a0f62708-b749-4409-94e7-839556905c9c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703067268, refreshable=false
2021-03-02T16:27:47.268Z [AUDIT] Token created by 'jffe@000': tokenId='5d88e282-9aea-4a2d-bce6-8e46583088bc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703067268, refreshable=false
2021-03-02T16:27:47.287Z [AUDIT] Token created by 'jffe@000': tokenId='055c8c88-7822-47f4-8c3e-155a14c3e755', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703067287, refreshable=false
2021-03-02T16:37:47.409Z [AUDIT] Token created by 'jffe@000': tokenId='25b2d516-7e67-4698-96ca-c382b4448e74', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703667409, refreshable=false
2021-03-02T16:37:47.409Z [AUDIT] Token created by 'jffe@000': tokenId='6b675c55-cde0-48d9-ba0d-32cdcd318359', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703667409, refreshable=false
2021-03-02T16:37:47.409Z [AUDIT] Token created by 'jffe@000': tokenId='f2dc5edd-d7cf-4735-8cb2-083e1a750a56', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703667409, refreshable=false
2021-03-02T16:37:47.415Z [AUDIT] Token created by 'jffe@000': tokenId='28b73cd7-08ec-46bf-89e9-23ecf68269e4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614703667415, refreshable=false
2021-03-02T16:47:47.535Z [AUDIT] Token created by 'jffe@000': tokenId='14357316-983d-4835-8f02-4f6f9001672b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704267535, refreshable=false
2021-03-02T16:47:47.535Z [AUDIT] Token created by 'jffe@000': tokenId='c612ef11-ecc1-4b85-8f72-89d0531bbdfa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704267535, refreshable=false
2021-03-02T16:47:47.536Z [AUDIT] Token created by 'jffe@000': tokenId='0f78595a-746b-440e-8962-fa6a6939bb53', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704267536, refreshable=false
2021-03-02T16:47:47.542Z [AUDIT] Token created by 'jffe@000': tokenId='db70d14f-d476-47cc-a407-1edab79f1ff2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704267541, refreshable=false
2021-03-02T16:57:47.700Z [AUDIT] Token created by 'jffe@000': tokenId='9bf4f818-363c-40a5-89ef-52724e61dfa3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704867700, refreshable=false
2021-03-02T16:57:47.702Z [AUDIT] Token created by 'jffe@000': tokenId='9199817e-9d76-4a10-92c5-7125ef7b0bb6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704867702, refreshable=false
2021-03-02T16:57:47.703Z [AUDIT] Token created by 'jffe@000': tokenId='d533bdde-0069-4465-8a1c-54ed87430ed4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704867703, refreshable=false
2021-03-02T16:57:47.711Z [AUDIT] Token created by 'jffe@000': tokenId='cefa0416-1628-445c-bce6-da9469dd85b0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614704867711, refreshable=false
2021-03-02T17:07:47.814Z [AUDIT] Token created by 'jffe@000': tokenId='e9437c6b-afb1-41ef-8b45-895b7aab2179', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614705467813, refreshable=false
2021-03-02T17:07:47.815Z [AUDIT] Token created by 'jffe@000': tokenId='2fc6d610-a13f-48a3-a451-830d1f36b0e9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614705467815, refreshable=false
2021-03-02T17:07:47.817Z [AUDIT] Token created by 'jffe@000': tokenId='4eb1f3a9-7454-4c41-b741-87695662add2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614705467817, refreshable=false
2021-03-02T17:07:47.838Z [AUDIT] Token created by 'jffe@000': tokenId='182ce67a-fbb6-4f2e-aabd-3d487978d906', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614705467838, refreshable=false
2021-03-02T17:17:47.962Z [AUDIT] Token created by 'jffe@000': tokenId='a453e8b3-1324-4138-b2f6-f3051d75a211', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706067961, refreshable=false
2021-03-02T17:17:47.962Z [AUDIT] Token created by 'jffe@000': tokenId='d41920bd-7899-4de8-b603-007379a86138', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706067962, refreshable=false
2021-03-02T17:17:47.962Z [AUDIT] Token created by 'jffe@000': tokenId='a1926fcc-7b2a-4639-b042-16a638dac54b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706067962, refreshable=false
2021-03-02T17:17:47.971Z [AUDIT] Token created by 'jffe@000': tokenId='efd1f1de-02a8-47f0-a59c-83b002613cc0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706067971, refreshable=false
2021-03-02T17:27:48.039Z [AUDIT] Token created by 'jffe@000': tokenId='00857df0-b339-41e9-99ff-848ca7f62441', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706668038, refreshable=false
2021-03-02T17:27:48.039Z [AUDIT] Token created by 'jffe@000': tokenId='a823ecf7-5f28-46cf-928f-9ab03fb4206e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706668039, refreshable=false
2021-03-02T17:27:48.042Z [AUDIT] Token created by 'jffe@000': tokenId='2f34aefe-7d6e-4291-b65d-a005b5bbb229', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706668041, refreshable=false
2021-03-02T17:27:48.045Z [AUDIT] Token created by 'jffe@000': tokenId='e4999d05-e679-42b4-8337-7cc9e4163626', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614706668045, refreshable=false
2021-03-02T17:37:48.145Z [AUDIT] Token created by 'jffe@000': tokenId='89490531-fcce-449f-adce-7deea0d57759', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707268144, refreshable=false
2021-03-02T17:37:48.145Z [AUDIT] Token created by 'jffe@000': tokenId='fee70716-4ab7-44b7-a14a-a3dc70e9bc8d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707268145, refreshable=false
2021-03-02T17:37:48.145Z [AUDIT] Token created by 'jffe@000': tokenId='2230ea6f-923c-4cdc-bbc2-7036d0c70b27', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707268145, refreshable=false
2021-03-02T17:37:48.171Z [AUDIT] Token created by 'jffe@000': tokenId='025fa6bb-2cfc-4df2-91d5-1f69c5579def', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707268163, refreshable=false
2021-03-02T17:47:48.252Z [AUDIT] Token created by 'jffe@000': tokenId='3217eca1-d7c9-457b-a144-bbb68f8dc077', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707868252, refreshable=false
2021-03-02T17:47:48.253Z [AUDIT] Token created by 'jffe@000': tokenId='01aa5dea-a793-4971-aac0-455872400b7e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707868252, refreshable=false
2021-03-02T17:47:48.255Z [AUDIT] Token created by 'jffe@000': tokenId='8d3fa277-abbd-4c11-8c3a-76032f3f1d61', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707868255, refreshable=false
2021-03-02T17:47:48.258Z [AUDIT] Token created by 'jffe@000': tokenId='5d325c36-cf10-4192-b429-d5b5d1ecfe00', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614707868258, refreshable=false
2021-03-02T17:57:48.338Z [AUDIT] Token created by 'jffe@000': tokenId='212a5d4f-719c-4658-bfc3-b83a2b1adeb4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614708468338, refreshable=false
2021-03-02T17:57:48.338Z [AUDIT] Token created by 'jffe@000': tokenId='30bb1cf0-4df5-4613-b445-f1d38cce7e97', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614708468338, refreshable=false
2021-03-02T17:57:48.343Z [AUDIT] Token created by 'jffe@000': tokenId='e0cc1a42-1026-40b1-a239-f53e8a698133', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614708468343, refreshable=false
2021-03-02T17:57:48.348Z [AUDIT] Token created by 'jffe@000': tokenId='79569a01-a5d6-401b-ad15-d16edd5a2b26', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614708468343, refreshable=false
2021-03-02T18:07:48.436Z [AUDIT] Token created by 'jffe@000': tokenId='78c8df41-01d6-4f57-8d20-1096e7ed111f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614709068436, refreshable=false
2021-03-02T18:07:48.436Z [AUDIT] Token created by 'jffe@000': tokenId='5cc2bfbc-ce1c-4201-874c-f2c277083063', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614709068436, refreshable=false
2021-03-02T18:07:48.436Z [AUDIT] Token created by 'jffe@000': tokenId='a27973e7-2485-44f2-818a-ac2c1ff1769d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614709068436, refreshable=false
2021-03-02T18:07:48.440Z [AUDIT] Token created by 'jffe@000': tokenId='c74bcde4-f492-448b-83f7-8cae92aa8730', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614709068439, refreshable=false
2021-03-02T18:17:48.517Z [AUDIT] Token created by 'jffe@000': tokenId='3cbac848-b4e8-467d-b358-466a8434d461', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614709668517, refreshable=false
